"店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類"
"ｈａｒｉ―ＨＡＩＲ","hari-HAIR, hair salon","和歌山市太田373‐5伊勢屋ﾋﾞﾙ2階","Iseya Bldg. 2F, 373-5 Oda, Wakayama-shi","和歌山市エリア","その他","N"
"ヘッズヘアー（Ｈ２Ｓｈａｉｒ）","H2S hair, hair salon","和歌山市狐島24‐4","24-4 Kitsunejima, Wakayama-shi","和歌山市エリア","その他","N"
"カットハウスザ・ガーデン","Cut House The Garden","紀の川市貴志川町長原紀の川市貴志川町長原245‐3","245-3 Nagahara, Kishigawacho, Kinokawa-shi","和歌山市エリア","その他","N"
"ヘアーサロンサンライズ","Hair Salon Dunrise","伊都郡かつらぎ町大字妙寺118‐10","118-10 Myoji, Katsuragicho, Ito-gun","高野山エリア","その他","N"
"ｓｈｕ・ｈａｉｒ","shu hair, hair salon","和歌山市友田町5丁目33岩橋ﾋﾞﾙ3階","Iwahashi Bldg. 3F, 5-33 Tomodacho, Wakayama-shi","和歌山市エリア","その他","N"
"ａｍｅｉｒｏＨＡＩＲＤＥＳＩＧＮ","ameiro HAIRDESIGN","新宮市王子町3丁目6‐15","3-6-15 Ojicho, Shingu-shi","熊野エリア","その他","N"
"ｆｌｏｃｋ","flock, barber shop","有田市辻堂799‐2","799-2 Tsujido, Arida-shi","有田・湯浅・日高エリア","その他","N"
"美容室純","Beauty Salon Jun","橋本市市脇1丁目1‐1大平ﾋﾞﾙ1階","Ohira Building 1F, 1-1-1 Ichiwaki, Hashimoto-shi","高野山エリア","その他","N"
"トーイ美容室","Atelier Toy, hair salon","和歌山市松江716‐48","716-48 Matsue, Wakayama-shi","和歌山市エリア","その他","N"
"ＡＴＳ堺岩出店","ATS Sakai Iwade Store","岩出市溝川188‐1","188-1 Mizokawa, Iwade-shi","和歌山市エリア","その他","N"
"ｗｉｓｈＢ’ＷＡＶＥ","wishB'WAVE, hair salon","和歌山市野崎200‐10","200-10 Nozaki, Wakayama-shi","和歌山市エリア","その他","N"
"有限会社古座オート","Koza Auto Co., Ltd.","東牟婁郡 串本町西向110‐1","110-1 Nishimukai, Kushimotocho, Higashimuro-gun","熊野エリア","その他","N"
"きもと整骨院","Kimoto Osteopathic Clinic","田辺市あけぼの2‐41赤木ﾋﾞﾙ1階","Akagi Bldg. 1F, 2-41 Akebono, Tanabe-shi","熊野エリア","その他","N"
"ＬＩＰＳＴＩＣＫ","LIP STICK, hair salon","和歌山市内原520‐1","520-1 Uchihara, Wakayama-shi","和歌山市エリア","その他","N"
"なすオート株式会社","Nasu Auto Co., Ltd.","田辺市上の山1丁目5‐2","1-5-2 Uenoyama, Tanabe-shi","熊野エリア","その他","N"
"飛鳥美容室","Beauty Salon Asuka","御坊市島172","172 Shima, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"ヘアーメイク・グルーヴ","Hair Make Salon Groove","御坊市塩屋町北塩屋693‐3<ﾃﾅﾝﾄ>ﾌｨﾝ1階","Tenant Fin 1F, 693-3 Kitashioya, Shioyacho, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"スマイル","Smile Nursing service","新宮市蓬莱3丁目2‐27","3-2-27 Horai, Shingu-shi","熊野エリア","その他","N"
"ＣｈｏｕＣｈｏｕ","Chou Chou Beauty Parlor","和歌山市神前136‐5","136-5 Kozaki, Wakayama-shi","和歌山市エリア","その他","N"
"シエル（Ｃｉｅｌ）","Ciel Beauty Parlor","和歌山市小雑賀583‐1ｸﾞﾘｰﾝﾌﾙ小雑賀1階","Greenful Kozaika 1F, 583-1 Kozaika, Wakayama-shi","和歌山市エリア","その他","N"
"ヘアハウスいさお","Hair House Isao","日高郡みなべ町埴田929‐9","929-9 Haneta, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"カーオート久保","Kubo Automobile Repair Shop","東牟婁郡那智勝浦町大字湯川1011‐1","1011-1 Yukawa, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N"
"大東自動車整備工場","Daito Automobile","和歌山県海南市下津町 丁140‐1","140-1 Yoro, Shimozucho, Kainan-shi","和歌山市エリア","その他","N"
"株式会社北垣モータース","Kitagaki Motors Co., Ltd.","日高郡日高町大字志賀508‐1","508-1 Shiga, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"村岡自動車整備工場","Muraoka Car Maintenance Factory","西牟婁郡 白浜町331","331 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"山根接骨院","Yamane Orthopedic Clinic","和歌山市西庄389‐1ﾚｼﾞﾀﾞﾝｽ･ｱﾝｿﾚｲｴ1階","Residence Ensoleille 1F, 389-1 Nishinosho, Wakayama-shi","和歌山市エリア","その他","N"
"ＯＭ商会","OM Shoukai Automobile Shop","和歌山市鈴丸丁53","53 Suzumarucho, Wakayama-shi","和歌山市エリア","その他","N"
"ウィッシュフォーヘアー","Wish For Hair Salon","紀の川市中井阪229‐1ﾆｭｰ轟3番館<1階ﾃﾅﾝﾄ右>","New Todoroki Sanbankan 1F Tenant Right Side, 229-1 Nakaisaka, Kinokawa-shi","和歌山市エリア","その他","N"
"フラットフィールド","Beauty Salon Flat Field","海南市大野中531‐1","531-1 Ononaka, Kainai-shi","和歌山市エリア","その他","N"
"パル・シンケ","Pal Shinke Electric Appliance Store","有田郡湯浅町大字湯浅1977-2","1977-2 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","ショッピング,その他","N"
"戸口デンキ","Toguchi Denki Electrics","紀の川市打田1077‐23","1077-23 Uchita, Kinokawa-shi","和歌山市エリア","ショッピング,その他","N"
"タンデムケアネットワーク","Tandem Care Network Home Nursing","和歌山市小野町3丁目15","3-15 Onomachi, Wakayama-shi","和歌山市エリア","その他","N"
"柏原建設","Kashihara Construction","有田郡有田川町大字角172‐5","172-5 Sumi, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"Ｏｒｕ・Ｈａｉｒ","Hair Salon Oru Hair","田辺市稲成町188‐4ﾏﾙﾋﾞｼﾋﾞﾙ1階","Marubishi Bldg. 1F, 188-4 Inaricho, Tanabe-shi","熊野エリア","その他","N"
"カットワークス","Hair Salon CUT WORKS","田辺市あけぼの39‐9ﾕﾆﾗｲﾌ8201号","Unilife Rm.8201, 39-9 Akebono, Tanabe-shi","熊野エリア","その他","N"
"有限会社日置川モータース","Hikigawa Motors Co., Ltd.","西牟婁郡白浜町大古572‐1","572-1 Ohfuru, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"青木歯科医院","Aoki Dental Clinic","岩出市吉田257‐1","257-1 Yoshida, Iwade-shi","和歌山市エリア","その他","N"
"くすの木デンタルクリニック","Kusunoki Dental Clinic","和歌山市島崎町5丁目32‐7","5-32-7 Shimazakicho, Wakayama-shi","和歌山市エリア","その他","N"
"イントラスト大森","Intrust Omori","岩出市山7‐1","7-1 Yama, Iwade-shi","和歌山市エリア","その他","N"
"森下自動車整備工場","Morishita Automobile","和歌山市築港3丁目10","3-10 Chitsukou, Wakayama-shi","和歌山市エリア","その他","N"
"美容室オリーブ　伏原店","Beauty Salon Olive of Fushihara","橋本市高野口町伏原992‐1","992-1 Fushihara, Koyaguticho, Hashimoto-shi","高野山エリア","その他","N"
"オートサービスあづま","Azuma Automobile","和歌山市築港3丁目28‐2","3-28-2 Chitsukou, Wakayama-shi","和歌山市エリア","その他","N"
"楠川建設株式会社","Kusukawa Kensetsu Construction Co., Ltd.","海南市下津町上215","215 Shimotsucho, Kainan-shi","和歌山市エリア","その他","N"
"ふじもと鍼灸整骨院砂山分院","Fujimoto Acupuncture And Moxibustion Osteopathic Clinic - Sunayama Branch Clinic","和歌山市湊3149‐2","3149-2 Minato, Wakayama-shi","和歌山市エリア","その他","N"
"ながお美容室","Beauty Salon Nagao","御坊市薗467","467 Sono, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"美容室ハング","Hang Beauty Parlor","和歌山市野崎117‐1","117-1 Nozaki, Wakayama-shi","和歌山市エリア","その他","N"
"菅野歯科医院","Sugano Dental Clinic","和歌山市和歌浦中1丁目5-1","1-5-1 Wakauranaka, Wakayama-shi","和歌山市エリア","その他","N"
"株式会社ネクストビジョン","Next Vision Co., Ltd.","御坊市湯川町財部377‐6","377-6 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"吉村歯科医院","Yoshimura Dental Clinic","紀の川市貴志川町 長原248‐8","248-8 Nagahara, Kishigawacho, Kinokawa-shi","和歌山市エリア","その他","N"
"有限会社さのでんき和歌川店","Sano Denki Co., Ltd. - Wakayama Store","和歌山市和歌川町9‐16","9-16 Wakagawacho, Wakayama-shi","和歌山市エリア","その他","N"
"株式会社ダイゼン建設","Daizen Kensetsu Co., Ltd.","和歌山市出島273‐4","273-4 Dejima, Wakayama-shi","和歌山市エリア","その他","N"
"さくら不動産販売株式会社","Sakura Real Estate Sales Co., Ltd.","田辺市東山1丁目5‐14","1-5-14 Higashiyama, Tanabe-shi","熊野エリア","その他","N"
"株式会社光建設本社","Hikarikensetsu Co., Ltd. Headquarters","田辺市新庄町2611‐148","2611-148 Shinjocho, Tanabe-shi","熊野エリア","その他","N"
"奥平工務店","Okuhira Koumutenn","田辺市新庄町2712‐1","2712-1 Shinjocho, Tanabe-shi","熊野エリア","その他","N"
"柏木モータース","Kashiwagi Motors","御坊市藤田町吉田1024","1024 Yoshida, Fujitacho, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"株式会社マサキオート","Masaki Auto Co., Ltd.","岩出市吉田139","139 Yoshida, Iwade-shi","和歌山市エリア","その他","N"
"有限会社寒川工務店","Sougawa Koumuten Co., Ltd.","西牟婁郡 白浜町安居848","848 Ago, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"ヤヨイ美容室","Beauty Salon Yayoi","御坊市藤田町 藤井1865‐1","1865-1 Fujii, Fujitacho, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"フレンドリーオカモト","Friendly Okamoto","田辺市上秋津2406‐10","2406-10 Kamiakizu, Tanabe-shi","熊野エリア","その他","N"
"Ｓｔ．Ｍｉｓｔｏ","Beauty Salon St. Misto","岩出市相谷9‐1田毎ﾋﾞﾙ1階","Tamai Building 1F, 9-1 Aida, Iwade-shi","和歌山市エリア","その他","N"
"有限会社ショウジ","Shouji Co., Ltd.","西牟婁郡すさみ町周参見2094‐1","2094-1 Susami, Susamicho, Nishimuro-gun","白浜・串本エリア","その他","N"
"丸山歯科医院","Maruyama Dental Clinic","海南市日方1272‐53","1272-53 Hikata, Kainai-shi","和歌山市エリア","その他","N"
"有限会社田尻自動車","Tajiri Jidousha Co., Ltd.","和歌山市田尻439-2","439-2 Tajiri, Wakayama-shi","和歌山市エリア","その他","N"
"楠川ラジオ店","Kusukawa Radio Shop","海南市下津町下津535‐4","535-4 Shimotsu, Shimotsucho, Kainan-shi","和歌山市エリア","その他","N"
"柳岡歯科医院","Yanaoka Dental Clinic","和歌山市美園町5丁目1-2新橘ﾋﾞﾙ3階","Shinbashi Bldg. 3F, 5-1-2 Misonocho, Wakayama-shi","和歌山市エリア","その他","N"
"協同組合紀州産直住宅","Kishu Sanchoku Housing Cooperative","日高郡美浜町大字田井419","419 Tai, Mihamacho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"みどり産業株式会社","Midori Sangyo Industry Co., Ltd.","海南市井田153‐3","153-3 Ida, Kainan-shi","和歌山市エリア","その他","N"
"ＨＳ不動産","HS Real Estate Agency","伊都郡かつらぎ町大字丁ﾉ町634","634 Chonomachi, Katsuragicho, Ito-gun","高野山エリア","その他","N"
"アイユー企画","I-You Planning","西牟婁郡白浜町堅田704‐2","704-2 Katata, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"的場オート商会","Matoba Automobile","和歌山市寺内471","471 Terauchi, Wakayama-shi","和歌山市エリア","その他","N"
"有限会社浅井不動産","Asahi Fudousan Co., Ltd.","和歌山市市小路354‐7","354-7 Ichishoji, Wakayama-shi","和歌山市エリア","その他","N"
"かに道楽　和歌山店","Kanidouraku Retaurant - Wakayama Store","和歌山市十一番丁23かに道楽","Kanidouraku, 23 Juichibancho, Wakayama-shi","和歌山市エリア","グルメ","N"
"吉備インターゴルフセンター","Kibi Inter Golf Center","有田郡有田川町大字土生409吉備ｲﾝﾀｰｺﾞﾙﾌｾﾝﾀｰ","Kibi Inter Golf Center, 409 Habu Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"紀北地所株式会社","Kihoku Chisho Realty Co., Ltd.","岩出市岡田389‐1","389-1 Okada, Iwada-shi","和歌山市エリア","その他","N"
"パリゴー","Paris Gonze French Restaurant","和歌山市榎原321‐2","321-2 Enokihara, Wakayama-shi","和歌山市エリア","グルメ","N"
"一織庵デイサービス岩出","Iorian Day Care Service Iwade","岩出市中黒58‐3","58-3 Nakakuro, Iwade-shi","和歌山市エリア","その他","N"
"三和接骨院","Sanwa Bonesetters Clinic","御坊市湯川町 小松原607‐4","607-4 Komatsubara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"初島薬局","Hatsushima Pharmacy","有田市初島町浜1312‐3","1312-3 Hama Hatsushimacho, Arida-shi","有田・湯浅・日高エリア","ショッピング,その他","N"
"たにげん","Catering Tanigen","橋本市紀見448","448 Kimigaoka, Hashimoto-shi","高野山エリア","その他","N"
"明光義塾和歌山駅前教室","Meikogijuku cram school - Wakayamaekimae School","和歌山市太田1丁目11‐13OEﾋﾞﾙ3階","OE Bldg. 3F, 1-11-13 Ooda, Wakayama-shi","和歌山市エリア","その他","N"
"ほっとはうす喫茶店","Hot House Tea Room","御坊市藤田町 吉田513‐3","513-3 Yoshida, Fujitacho, Gobo-shi","有田・湯浅・日高エリア","グルメ","N"
"双六屋","Sugorokuya Pub","和歌山市黒田104‐3","104-3 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","N"
"ラターナ","La Tana Italian Cuisine","新宮市蜂伏3‐38","3-38 Hachibuse, Shingushi","熊野エリア","グルメ","N"
"あかね鍼灸整骨院","Akane Acupuncture & Bonesetter's Office","紀の川市桃山町 神田378","378 Momoyamachokouda, Kinokawa-shi","和歌山市エリア","その他","N"
"みやま","Miyama Japanese Restaurant","和歌山市古屋104‐1ｸﾞﾘｰﾝﾌﾙ垣内103号","Greenful Kakiuchi Rm.103, 104-1 Koya, Wakayama-shi","和歌山市エリア","その他","N"
"ラシーヌ","French Restaurant Racine","紀の川市桃山町調月620‐2","620-2 Momoyamachotsukatsuki, Kinokawa-shi","和歌山市エリア","グルメ","N"
"虎丸水産","Toramarusuisan Seafood Dining Pub","和歌山市畑屋敷円福院東ﾉ丁13","13 Higashinocho, Enpukuin, Hatayashiki, Wakayama-shi","和歌山市エリア","グルメ","N"
"ｅｓｔｈｅｔｉｃｓａｌｏｎｃｌｅａｒ","Esthetic Salon Clear","新宮市千穂2丁目2‐27","2-2-27 Chiho, Shingushi","熊野エリア","その他","N"
"植野電気株式会社","Ueno Denki Co., Ltd.","和歌山市黒田149-2","149-2 Kuroda, Wakayama-shi","和歌山市エリア","その他","N"
"寿司海鮮料理さかなや","Sushi & Seafood Sakanaya","紀の川市貴志川町北山507‐1","507-1 Kishigawachokitayama, Kinokawa-shi","和歌山市エリア","グルメ","N"
"梅林堂","Bairindo, Umeboshi shop","東牟婁郡串本町古座126","126 Koza, Kushimotocho, Higashimuro-gun","白浜・串本エリア","ショッピング","N"
"稲垣司法書士事務所","Inagaki Judicial Scrivener Office","西牟婁郡上富田町朝来576‐1","576-1 Asso, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"有限会社新光モータース","Shinko Motors Co., Ltd.","和歌山市狐島358-4","358-4 Kitsunejima, Wakayama-shi","和歌山市エリア","その他","N"
"犇屋岩出店","Korean Barbecue Hishimekiya,  Iwade Shop","岩出市野上野97","97 Nojono, Iwade-shi","和歌山市エリア","グルメ","N"
"国語塾いはら教室","Tutoring School for Japanese Literature, Ihara School","岩出市野上野35‐33","35-33 Nojono, Iwade-shi","和歌山市エリア","その他","N"
"明光義塾　林間田園都市教室","Cram School Meiko Gijuku of Rinkandenentoshi","橋本市三石台1丁目3‐11ﾌｫﾚｽﾄはしもと1階","Forest Hashimoto 1F, 1-3-11 Mitsuishidai, Hashimoto-shi","高野山エリア","その他","N"
"ヘアーサロンステージ","Hair Salon Stage","新宮市下田1丁目8‐48","1-8-48 Shimoda, Shingushi","熊野エリア","その他","N"
